VNET-SS-SQL,Qudratillo8373,12961,azure,https://github.com/Qudratillo8373/terraform-azure-VNET-SS-SQL,
VPC,AyushWahane,9203,AWS,https://github.com/AyushWahane/terraform-AWS-VPC,
VPC,rknktm,15041,aws,https://github.com/rknktm/terraform-aws-VPC,Terraform module which creates a VPC with three Public and Private Subnets on AWS.
VPC,sibikmc,21275,alicloud,https://github.com/sibikmc/terraform-alicloud-vpc-project,Creating an vpc in alicloud in terraform scripts 
VPC-EC2,vlkn38akyz,15058,aws,https://github.com/vlkn38akyz/terraform-aws-VPC-EC2,
VPC-EKS-BastionHost,gokhanwell,19425,aws,https://github.com/gokhanwell/terraform-aws-VPC-EKS-BastionHost,
VPC-LB-ASG-CDN-Route53,gokhanwell,19413,aws,https://github.com/gokhanwell/terraform-aws-VPC-LB-ASG-CDN-Route53,
VictoriaMetrics,basisai,8547,helm,https://github.com/basisai/terraform-helm-VictoriaMetrics,
Vm,jxinging,13629,Vsphere,https://github.com/jxinging/terraform-Vsphere-Vm,Terraform vSphere module for provisioning Virtual Machines
Vnet,turdalieva,7064,azure,https://github.com/turdalieva/terraform-azure-Vnet,
Web_server,devashishpan,11822,aws,https://github.com/devashishpan/terraform-aws-Web_server,Terraform module for launching an ec2 instance and then configuring a web server on it.
Windows,ranaarpit84,22435,Azure,https://github.com/ranaarpit84/terraform-Azure-Windows,
aaa,netascode,9558,aci,https://github.com/netascode/terraform-aci-aaa,Terraform Cisco ACI AAA Module
aad-group,gribanj,21129,azure,https://github.com/gribanj/terraform-azure-aad-group,A terraform module to provision a customizable azure virtaul network
aad-pod-identity-rbac,cloudcommons,4265,kubernetes,https://github.com/cloudcommons/terraform-kubernetes-aad-pod-identity-rbac,Terraform Azure Active Directory Pod Identity for AKS with RBAC 
aadds,schnerring,8810,azurerm,https://github.com/schnerring/terraform-azurerm-aadds,"Terraform module to deploy Azure Active Directory Domain Services (AADDS), providing the same configuration options as the AADDS configuration wizard in the Azure Portal."
aaep,netascode,9660,aci,https://github.com/netascode/terraform-aci-aaep,Terraform Cisco ACI AAEP Module
